OfficeHours_ID,OfficeRecordNo,SequenceNo,DayInt,DayOfWeek,StartTime,EndTime,Comments
331,55151,4,3,Tuesday,12/30/1899,12/30/1899,
332,51908,2,2,Monday,12/30/1899,12/30/1899,
333,51908,4,3,Tuesday,12/30/1899,12/30/1899,
334,55151,6,4,Wednesday,12/30/1899,12/30/1899,
335,51908,6,4,Wednesday,12/30/1899,12/30/1899,
336,51908,8,5,Thursday,12/30/1899,12/30/1899,
337,55151,8,5,Thursday,12/30/1899,12/30/1899,
338,51908,10,6,Friday,12/30/1899,12/30/1899,
339,55151,10,6,Friday,12/30/1899,12/30/1899,
340,53584,2,2,Monday,12/30/1899,12/30/1899,
341,53584,4,3,Tuesday,12/30/1899,12/30/1899,
342,53584,6,4,Wednesday,12/30/1899,12/30/1899,
343,53584,8,5,Thursday,12/30/1899,12/30/1899,
344,53584,10,6,Friday,12/30/1899,12/30/1899,
345,55152,2,2,Monday,12/30/1899,12/30/1899,
346,55152,4,3,Tuesday,12/30/1899,12/30/1899,
347,55152,6,4,Wednesday,12/30/1899,12/30/1899,
348,55152,8,5,Thursday,12/30/1899,12/30/1899,
349,51762,2,2,Monday,12/30/1899,12/30/1899,
350,51762,4,3,Tuesday,12/30/1899,12/30/1899,
351,51762,6,4,Wednesday,12/30/1899,12/30/1899,
352,51762,8,5,Thursday,12/30/1899,12/30/1899,
353,51762,10,6,Friday,12/30/1899,12/30/1899,
354,55153,2,3,Tuesday,12/30/1899,12/30/1899,
355,55154,2,4,Wednesday,12/30/1899,12/30/1899,
356,55154,4,6,Friday,12/30/1899,12/30/1899,
357,54713,2,4,Wednesday,12/30/1899,12/30/1899,
358,54713,4,6,Friday,12/30/1899,12/30/1899,
359,53582,2,2,Monday,12/30/1899,12/30/1899,
360,53582,4,3,Tuesday,12/30/1899,12/30/1899,
361,53582,6,4,Wednesday,12/30/1899,12/30/1899,
362,53582,8,5,Thursday,12/30/1899,12/30/1899,
363,54732,2,8,Mon - Fri,12/30/1899,12/30/1899,
364,3194,2,8,Mon - Fri,12/30/1899,12/30/1899,
367,3138,2,8,Mon - Fri,12/30/1899,12/30/1899,
368,3401,2,8,Mon - Fri,12/30/1899,12/30/1899,
369,54601,2,8,Mon - Fri,12/30/1899,12/30/1899,
370,55051,2,8,Mon - Fri,12/30/1899,12/30/1899,
371,3023,2,10,Mon - Sun,12/30/1899,12/30/1899,
372,3205,2,8,Mon - Fri,12/30/1899,12/30/1899,
373,101,2,2,Monday,12/30/1899,12/30/1899,
374,101,4,3,Tuesday,12/30/1899,12/30/1899,
375,3206,2,8,Mon - Fri,12/30/1899,12/30/1899,
376,101,6,5,Thursday,12/30/1899,12/30/1899,
377,101,8,6,Friday,12/30/1899,12/30/1899,
378,3210,2,8,Mon - Fri,12/30/1899,12/30/1899,
379,54723,2,8,Mon - Fri,12/30/1899,12/30/1899,
380,55159,2,5,Thursday,12/30/1899,12/30/1899,
381,919,2,2,Monday,12/30/1899,12/30/1899,
382,919,4,3,Tuesday,12/30/1899,12/30/1899,
383,919,6,4,Wednesday,12/30/1899,12/30/1899,
384,919,8,5,Thursday,12/30/1899,12/30/1899,
385,919,10,6,Friday,12/30/1899,12/30/1899,
386,3311,2,2,Monday,12/30/1899,12/30/1899,
387,3311,4,3,Tuesday,12/30/1899,12/30/1899,
388,3311,6,4,Wednesday,12/30/1899,12/30/1899,
389,3311,8,5,Thursday,12/30/1899,12/30/1899,
390,3311,10,6,Friday,12/30/1899,12/30/1899,
391,3225,2,2,Monday,12/30/1899,12/30/1899,
392,3225,4,3,Tuesday,12/30/1899,12/30/1899,
393,3225,6,4,Wednesday,12/30/1899,12/30/1899,
